中证500指数,1D,2D,3D,5D,10D,20D,50D,100D,200D,z_score2D,2D正,2D负,3D正,3D负,5D正,5D负,10D正,10D负,20D正,20D负,50D正,50D负,100D正,100D负,200D正,200D负,1D正,1D负
1986.539,3.4470503725323334,2.472239407331046,4.976695650072805,13.714656495543249,13.795701972123378,17.846767669801604,50.6957577978585,123.46326953560944,106.31641261510596,0.8795414785233809,2.472239407331046,3.870659678086106,4.976695650072805,3.751550474416391,13.714656495543249,0.2585126349321334,13.795701972123378,1.506456174599637,17.846767669801604,7.300812129244921,50.6957577978585,0.7451542778420422,123.46326953560944,1.5416549674160485,106.31641261510596,5.886194980700901,3.4470503725323334,0.942328429559673
2055.016,0.942328429559673,1.4786746185917636,5.09105525212455,10.06167348575387,9.777150153575448,16.016517632952727,48.050477465868866,120.38918431778633,100.21785718456692,0.5135423829978554,1.4786746185917636,4.266154514436244,5.09105525212455,3.3387346719515723,10.06167348575387,6.165663030455885,9.777150153575448,4.724951814663743,16.016517632952727,10.539672017507131,48.050477465868866,1.6182933715197163,120.38918431778633,3.3978807258795154,100.21785718456692,14.270073251715054,2.4440338741758643,4.792975947761869
2035.651,2.4440338741758643,6.090778822106532,10.971183174326042,12.185045471939928,5.268093597576402,19.66486396734999,51.248961634386234,115.96128216477186,109.46591532635014,2.212501510864885,6.090778822106532,5.206812716646404,10.971183174326042,1.011518170544587,12.185045471939928,0.40630307891633954,5.268093597576402,2.8095508635878224,19.66486396734999,8.83590794720631,51.248961634386234,0.6367324398494829,115.96128216477186,0.38155659814783494,109.46591532635014,12.290040890849722,3.559743608309767,0.20605185535141624
2085.403,3.559743608309767,8.323714888680994,8.457933550493602,4.259896048869223,3.8362848811476926,20.47561070929697,50.24156002460916,109.76703303869809,101.9132033472667,3.0350473478299573,8.323714888680994,4.013097877689897,8.457933550493602,1.9841556623838734,4.259896048869223,2.706253116037826,3.8362848811476926,2.0034190189937693,20.47561070929697,4.6344778602939245,50.24156002460916,1.8650773506605558,109.76703303869809,2.4658074316293743,101.9132033472667,10.423098691024446,4.600215406470898,5.01108629758442
2159.638,4.600215406470898,4.729820460651273,5.744388642911451,1.2331696330588766,1.506456174599637,17.6775459590913,47.376412157963514,90.92158037597044,95.27476364094353,1.7111657801848863,4.729820460651273,0.736715026569259,5.744388642911451,4.210880670407264,1.2331696330588766,4.7928068527061,4.792757373959355,6.487154634331213,17.6775459590913,2.59246902773956,47.376412157963514,5.63217927595426,90.92158037597044,3.782992357286984,95.27476364094353,1.1315045579507181,0.1239051503639234,1.7687684290005974
2258.986,0.1239051503639234,1.0938536139666222,3.751550474416391,0.07127091535760413,4.724951814663743,16.960175937345348,43.4405525310914,70.51650607839093,90.93876633144251,0.37178601116553556,1.0938536139666222,0.6075076025039288,3.7575905868674084,5.710883898405021,0.07127091535760413,2.5576500772627644,4.624817611731391,17.081607531903074,16.960175937345348,0.7081817183403374,43.4405525310914,3.987731028744453,70.51650607839093,7.6732328118787745,90.93876633144251,7.459526519485523,0.9687481347696647,8.95267955886839
2261.785,0.9687481347696647,3.870659678086106,3.3387346719515723,0.2585126349321334,2.8095508635878224,6.357323971995579,44.20146035100597,73.69922428524374,93.28433073877494,1.4569899229346641,3.971826464339936,5.344869715972519,0.43674643273969244,4.252026546707095,4.435736582028665,2.105196540999413,3.5599461380980997,17.93510176323537,6.357323971995579,4.061012075579408,44.20146035100597,4.7257017353317305,73.69922428524374,9.152593942238891,93.28433073877494,14.716079785584352,0.5533430317458177,2.1492457031596537
2283.696,4.792975947761869,4.266154514436244,1.011518170544587,6.165663030455885,2.0034190189937693,10.064255487595547,44.92931633632497,76.13171805704438,88.66004932355268,1.6026782102307933,3.1866146450346995,4.866595461058839,1.516298336800729,1.0968718533695365,5.220270572941319,1.4846882182285484,5.683666838361683,18.448680642453812,10.064255487595547,4.314049391541108,44.92931633632497,4.939605747861383,76.13171805704438,3.0076533966240975,88.66004932355268,14.926716915937554,3.3996715867665026,0.6881140110469295
2174.239,0.5533430317458177,3.971826464339936,3.7575905868674084,0.40630307891633954,4.792757373959355,13.120544705526852,55.79759170909912,72.84107220963288,89.18384777386478,1.4319438107592708,3.344218242267431,0.39211739014366503,5.210840654711766,6.911246070381523,7.5349865356842,4.927796453900167,13.676290581275472,13.88862032926819,13.120544705526852,11.325982713016762,55.79759170909912,9.519841360313283,72.84107220963288,3.7440724491643493,89.18384777386478,12.582166388795496,1.0506367332729534,1.8104246382627982
2186.27,3.3996715867665026,3.1866146450346995,1.9841556623838734,2.706253116037826,4.624817611731391,14.518197660856169,53.623843349632025,64.00014636801492,91.8326647669318,1.1426956218954833,3.981600650482052,0.33928030703655077,5.863398768730406,0.064331759320436,8.773237309792083,2.2574675523870718,16.02457738852546,13.914169833609938,14.518197660856169,19.10571453352489,53.623843349632025,11.751047937087348,64.00014636801492,1.7104744660130597,91.8326647669318,9.35007740072705,1.1821706884101664,1.1593553485501407
